frame,tipo_objeto,conf,track_id,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula
0,bus,0.957,1,1394,53,1918,476,0.0,0.0,0.0,0.0,0.0,
0,car,0.845,2,1319,312,1401,370,0.0,0.0,0.0,0.0,0.0,
0,car,0.554,4,1277,316,1322,344,0.0,0.0,0.0,0.0,0.0,
0,car,0.549,5,1239,316,1279,344,0.0,0.0,0.0,0.0,0.0,
1,bus,0.958,1,1396,56,1914,475,0.0,0.0,0.0,0.0,0.0,
1,car,0.84,2,1319,312,1400,369,0.0,0.0,0.0,0.0,0.0,
1,car,0.541,4,1276,317,1320,344,0.0,0.0,0.0,0.0,0.0,
1,car,0.519,5,1238,316,1277,343,0.0,0.0,0.0,0.0,0.0,
2,bus,0.956,1,1399,60,1910,473,0.0,0.0,0.0,0.0,0.0,
2,car,0.833,2,1317,312,1399,369,0.0,0.0,0.0,0.0,0.0,
2,car,0.519,4,1276,317,1320,344,0.0,0.0,0.0,0.0,0.0,
2,car,0.492,5,1237,316,1274,342,0.0,0.0,0.0,0.0,0.0,
3,bus,0.954,1,1401,63,1906,470,0.319,1850,405,1905,427,
3,car,0.839,2,1316,312,1398,369,0.0,0.0,0.0,0.0,0.0,
3,car,0.486,4,1277,317,1320,344,0.0,0.0,0.0,0.0,0.0,
3,car,0.554,5,1234,317,1272,343,0.0,0.0,0.0,0.0,0.0,
3,person,0.631,6,976,295,1016,377,0.0,0.0,0.0,0.0,0.0,
4,bus,0.954,1,1405,69,1901,467,0.515,1836,403,1901,422,
4,car,0.833,2,1315,312,1395,369,0.0,0.0,0.0,0.0,0.0,
4,car,0.461,4,1277,317,1321,344,0.0,0.0,0.0,0.0,0.0,
4,car,0.578,5,1236,318,1274,344,0.0,0.0,0.0,0.0,0.0,
4,person,0.533,6,976,295,1016,378,0.0,0.0,0.0,0.0,0.0,
5,bus,0.953,1,1408,75,1897,465,0.581,1821,401,1896,423,
5,car,0.843,2,1314,313,1394,368,0.0,0.0,0.0,0.0,0.0,
5,car,0.388,4,1277,316,1320,343,0.0,0.0,0.0,0.0,0.0,
5,car,0.532,5,1235,318,1273,343,0.0,0.0,0.0,0.0,0.0,
5,person,0.636,6,977,294,1017,377,0.0,0.0,0.0,0.0,0.0,
6,bus,0.953,1,1410,80,1893,463,0.788,1807,399,1871,419,
6,car,0.852,2,1313,312,1392,368,0.0,0.0,0.0,0.0,0.0,
6,car,0.358,4,1276,316,1320,342,0.0,0.0,0.0,0.0,0.0,
6,car,0.51,5,1234,318,1272,344,0.0,0.0,0.0,0.0,0.0,
6,person,0.663,6,976,294,1016,377,0.0,0.0,0.0,0.0,0.0,
7,bus,0.951,1,1410,84,1891,462,0.658,1793,399,1856,417,
7,car,0.844,2,1313,313,1391,368,0.0,0.0,0.0,0.0,0.0,
7,car,0.534,5,1234,320,1271,345,0.0,0.0,0.0,0.0,0.0,
7,person,0.428,6,978,297,1016,375,0.0,0.0,0.0,0.0,0.0,
8,bus,0.947,1,1411,87,1890,461,0.746,1781,398,1842,416,
8,car,0.839,2,1312,313,1389,367,0.0,0.0,0.0,0.0,0.0,
8,car,0.544,5,1233,321,1271,345,0.0,0.0,0.0,0.0,0.0,
9,bus,0.943,1,1412,92,1887,459,0.793,1770,397,1828,414,12
9,car,0.85,2,1311,314,1387,367,0.0,0.0,0.0,0.0,0.0,
9,car,0.564,5,1233,321,1269,344,0.0,0.0,0.0,0.0,0.0,
10,bus,0.938,1,1412,96,1886,457,0.266,1712,120,1886,145,
10,car,0.824,2,1310,313,1386,367,0.0,0.0,0.0,0.0,0.0,
10,car,0.609,5,1232,321,1268,344,0.0,0.0,0.0,0.0,0.0,
11,bus,0.945,1,1411,100,1884,457,0.682,1744,394,1803,411,
11,car,0.848,2,1309,314,1384,367,0.0,0.0,0.0,0.0,0.0,
11,car,0.645,5,1229,319,1269,344,0.0,0.0,0.0,0.0,0.0,
12,bus,0.949,1,1408,104,1879,454,0.726,1733,393,1791,410,
12,car,0.851,2,1309,314,1383,368,0.0,0.0,0.0,0.0,0.0,
12,car,0.591,5,1228,319,1268,344,0.0,0.0,0.0,0.0,0.0,
13,bus,0.946,1,1402,107,1872,453,0.805,1722,392,1779,409,G
13,car,0.842,2,1309,314,1382,368,0.0,0.0,0.0,0.0,0.0,
13,car,0.584,5,1229,319,1268,344,0.0,0.0,0.0,0.0,0.0,
14,bus,0.941,1,1394,110,1864,454,0.276,1712,390,1767,407,ee
14,car,0.839,2,1309,315,1381,368,0.0,0.0,0.0,0.0,0.0,
14,car,0.592,5,1227,318,1269,345,0.0,0.0,0.0,0.0,0.0,
14,person,0.504,6,996,296,1033,375,0.0,0.0,0.0,0.0,0.0,
15,bus,0.945,1,1389,114,1853,451,0.528,1704,390,1757,405,
15,car,0.835,2,1309,315,1379,367,0.0,0.0,0.0,0.0,0.0,
15,car,0.643,5,1225,317,1268,345,0.0,0.0,0.0,0.0,0.0,
15,person,0.591,6,997,296,1034,375,0.0,0.0,0.0,0.0,0.0,
16,bus,0.944,1,1386,116,1847,449,0.407,1693,388,1745,405,
16,car,0.834,2,1308,315,1379,367,0.0,0.0,0.0,0.0,0.0,
16,car,0.668,5,1224,318,1267,345,0.0,0.0,0.0,0.0,0.0,
16,person,0.557,6,998,296,1034,374,0.0,0.0,0.0,0.0,0.0,
17,bus,0.947,1,1380,119,1836,447,0.437,1684,387,1735,404,
17,car,0.839,2,1307,314,1377,367,0.0,0.0,0.0,0.0,0.0,
17,car,0.639,5,1224,318,1267,345,0.0,0.0,0.0,0.0,0.0,
17,person,0.543,6,1000,297,1035,374,0.0,0.0,0.0,0.0,0.0,
18,bus,0.944,1,1376,122,1826,444,0.284,1632,145,1824,168,
18,car,0.831,2,1307,315,1376,367,0.0,0.0,0.0,0.0,0.0,
18,car,0.62,5,1223,317,1266,345,0.0,0.0,0.0,0.0,0.0,
18,person,0.438,6,1002,301,1034,373,0.0,0.0,0.0,0.0,0.0,
19,bus,0.946,1,1372,126,1815,442,0.421,1666,386,1716,400,
19,car,0.818,2,1307,315,1374,366,0.0,0.0,0.0,0.0,0.0,
19,car,0.518,5,1223,317,1265,344,0.0,0.0,0.0,0.0,0.0,
19,person,0.433,6,1004,309,1032,374,0.0,0.0,0.0,0.0,0.0,
20,bus,0.945,1,1368,128,1807,441,0.677,1659,385,1709,400,
20,car,0.815,2,1307,315,1372,365,0.0,0.0,0.0,0.0,0.0,
20,car,0.544,5,1223,317,1265,344,0.0,0.0,0.0,0.0,0.0,
20,person,0.473,6,1005,310,1032,373,0.0,0.0,0.0,0.0,0.0,
21,bus,0.941,1,1367,130,1800,439,0.708,1651,385,1699,399,€7
21,car,0.82,2,1306,315,1371,365,0.0,0.0,0.0,0.0,0.0,
21,car,0.567,5,1224,318,1263,344,0.0,0.0,0.0,0.0,0.0,
21,person,0.494,6,1004,306,1034,373,0.0,0.0,0.0,0.0,0.0,
22,bus,0.941,1,1363,134,1790,438,0.586,1643,384,1691,398,
22,car,0.823,2,1306,315,1370,364,0.0,0.0,0.0,0.0,0.0,
22,car,0.58,5,1223,319,1262,344,0.0,0.0,0.0,0.0,0.0,
23,bus,0.936,1,1360,136,1782,438,0.274,1635,383,1681,397,
23,car,0.828,2,1306,314,1369,363,0.0,0.0,0.0,0.0,0.0,
23,car,0.537,5,1224,322,1259,344,0.0,0.0,0.0,0.0,0.0,
24,bus,0.936,1,1359,139,1775,436,0.0,0.0,0.0,0.0,0.0,
24,car,0.843,2,1305,314,1369,363,0.0,0.0,0.0,0.0,0.0,
